"Title","Summary","Comment"
"Paul (2011)","1👍",
"Pitch Black (2000)","1👍",
"Possessor (2020)","1👍",
"Prayer of the Rollerboys (1990)","1👍",
"Prince of Darkness (1987)","1👍",
"The Puppet Masters (1994)","1👍",
"Quartermass and the Pit (1967)","1👍",
"Radioactive Dreams (1984)","1👍",
"The Ray Bradbury Theater (1985)","1👍","Series"
"Red Dwarf (1988)","1👍","Series"
"Renaissance (2006)","1👍",
"Repo Man (1984)","1👍",
"Repo! The Genetic Opera (2008)","1👍",
"Robot Jox (1989)","1👍",
"Ôritsu uchûgun Oneamisu no tsubasa (1987)","1👍",
"Safe","1👍",
"San daikaijû: Chikyû saidai no kessen (1964)","1👍",
"Santa Claus Conquers the Martians (1964)","1👍",
"Scanners (1981)","1👍",
"Scavengers Reign (2023)","1👍","Series"
"Screamers (1995)","1👍",
"Seconds (1966)","1👍",
"The Silent House (2010)","1👍",
"The Siren (2020)","1👍",
"Six String Samurai (1998)","1👍",
"Sleep Dealer (2009)","1👍",
"Soylent Green (1973)","1👍",
"Space Janitors (2012)","1👍","Series"
"Space Mutiny (1988)","1👍",
"Space Truckers (1996)","1👍",
"Spaceballs (1987)","1👍",
"Splice (2009)","1👍",
"Split Second (1992)","1👍",
"Star Wreck (2006)","1👍",
"Starchaser: The Legend of Orin (1985)","1👍",
"Starman (1984)","1👍",
"Starship Troopers (1997)","1👍",
"Super 8 (2011)","1👍",
"Them (2021)","1👍",
"The Thing (1982)","1👍",
"The Thing From Another World (1951)","1👍",
"The Thirteenth Floor (1999)","1👍",
"This Island Earth (1955)","1👍",
"Time Bandits (1981)","1👍",
"Time Trap (2017)","1👍",
"Timequest (2000)","1👍",
"Timerider: The Adventure of Lyle Swan (1982)","1👍",
"Titan A.E. (2000)","1👍",
"Tomorrow I’ll Get Up And Scald Myself With Tea (1977)","1👍",
"Total Recall 2070 (1999)","1👍","Series"
"Train to Busan (2016)","1👍",
"Trancers (1984)","1👍",
"Turbo Kid (2015)","1👍",
"UFO Sweden (2022)","1👍",
"Upload (2020)","1👍","Series"
"Upstream Color (2013)","1👍",
"The Vast of Night (2019)","1👍",
"Videodrome (1983)","1👍",
"Viking (2022)","1👍",
"Village of the Damned (1995)","1👍",
"Wandering Earth 2 (2023)","1👍",
"WarGames (1983)","1👍",
"Westworld (2016)","1👍","Series"
"World on a Wire (1973)","1👍",
"The Whispering Star (2015)","1👍",
"Interstellar (2014)","1👍 1👎",
